pacc,rt,accumulator
24,0.9336,1
23,0.4345,2
22,0.5179,1
21,0.5183,1
20,0.5153,1
19,0.5401,1
18,0.5878,2
17,0.4125,1
16,0.7343,1
15,0.6591,1
14,0.7286,1
13,0.5549,1
12,0.6197,1
11,0.6452,1
10,0.5026,1
9,0.53,1
8,0.4609,2
7,0.2032,1
6,0.2112,1
5,0.3457,1
4,0.2861,2
3,0.3321,1
2,0.18530000000000002,1
1,0.182,2
0,0.1022,2
0,0.45080000000000003,1
0,0.1596,2
0,0.1795,2
0,0.1921,1
0,0.2032,1
0,0.17930000000000001,2
2,0.1899,1
3,0.1814,1
4,0.1972,1
5,0.1974,1
6,0.2132,1
7,0.45489999999999997,2
8,0.394,1
9,0.44939999999999997,1
10,0.5425,1
11,0.7715,1
12,0.45080000000000003,1
11,0.478,1
10,0.6735,2
9,0.5129,1
8,0.9035,1
7,0.3175,1
6,0.2209,2
5,0.2119,1
4,0.1778,1
2,0.2149,2
3,0.1437,1
4,0.1181,2
5,0.2899,1
6,0.2122,1
7,0.1879,2
8,0.1777,2
9,0.3549,1
10,0.4594,1
11,0.419,1
12,0.4623,2
13,0.4046,1
14,0.3963,1
15,0.4918,1
16,0.4442,1
17,0.5506,1
16,0.567,1
15,0.4522,1
14,0.564,1
13,0.4839,2
12,0.5235,1
11,0.4413,1
10,0.4783,1
9,0.4962,1
8,0.5987,1
7,0.6885,1
6,0.18180000000000002,1
5,0.2056,1
4,0.1766,1
3,0.1854,1
3,0.1653,2
5,0.1408,1
6,0.187,2
7,0.5243,1
8,0.4775,1
9,0.4084,1
10,0.42560000000000003,2
11,0.5182,1
12,0.4987,1
13,0.4144,1
14,0.6281,1
15,0.42669999999999997,1
14,0.5943999999999999,1
13,0.4863,1
12,0.451,1
11,0.6137,1
10,0.43689999999999996,1
9,0.6387,1
8,0.3523,1
7,0.3948,1
6,0.504,1
5,0.4172,1
4,0.18569999999999998,2
3,0.1915,2
2,0.14959999999999998,1
1,0.1768,1
0,0.19190000000000002,1
1,0.3364,1
2,0.18419999999999997,2
3,0.2015,2
5,0.2025,2
6,0.1845,2
7,0.557,1
8,0.5388999999999999,1
9,0.5075,1
10,0.507,1
11,0.4451,1
1,0.2225,1
2,0.2166,2
3,0.1844,1
4,0.18519999999999998,2
5,0.18930000000000002,2
6,0.43189999999999995,1
7,0.3778,1
8,0.4545,2
9,0.37,2
10,0.372,1
11,0.4124,2
12,0.38110000000000005,1
13,0.43660000000000004,1
14,0.6754,2
15,0.6297,1
16,0.43789999999999996,1
17,0.4038,1
18,0.5822999999999999,1
19,0.48860000000000003,1
18,0.5088,1
17,0.5443,1
16,0.4006,1
15,0.4461,1
14,0.5115,2
13,0.6281,1
12,0.5327999999999999,1
11,0.6026,1
10,0.493,1
9,0.3433,2
8,0.4255,1
7,0.4915,1
6,0.2045,1
5,0.19190000000000002,2
2,0.1421,1
3,0.1655,2
4,0.18209999999999998,1
5,0.15319999999999998,1
8,0.37010000000000004,1
9,0.3807,1
10,0.3072,2
11,0.48319999999999996,1
12,0.612,1
13,0.3712,1
14,0.4038,1
15,0.5532999999999999,1
14,0.5656,1
13,0.5024,1
12,0.59,1
11,0.3984,1
10,0.4137,1
9,0.507,1
8,0.446,1
7,0.42510000000000003,2
6,0.758,1
5,0.15880000000000002,1
4,0.15680000000000002,1
3,0.1426,1
2,0.4157,2
1,0.1666,1
0,0.1722,2
0,0.19619999999999999,1
0,0.20959999999999998,2
1,0.1691,1
2,0.21830000000000002,1
3,0.1869,1
4,0.32739999999999997,1
5,0.1822,1
7,0.2097,2
8,0.31289999999999996,1
9,0.4067,1
10,0.4159,1
11,0.4073,1
12,0.5242,1
11,0.601,1
10,0.4357,1
9,0.2061,2
8,0.19,1
7,0.1977,2
6,0.2092,2
5,0.19640000000000002,1
6,0.1725,1
7,0.1734,1
9,0.209,1
10,0.21919999999999998,2
12,0.5155,1
13,0.49789999999999995,1
14,0.4521,2
15,0.3745,1
16,0.4797,1
17,0.4383,1
18,0.6444,2
19,0.5978,1
20,0.8267,1
21,0.4844,1
22,0.5256000000000001,1
23,0.6119,1
0,0.18280000000000002,1
0,0.1625,2
0,0.2021,1
0,0.245,1
0,0.19569999999999999,1
0,0.1926,2
0,0.2091,2
0,0.197,2
0,0.1989,2
1,0.191,2
2,0.204,2
3,0.36660000000000004,1
4,0.1846,2
6,0.18230000000000002,2
7,0.1656,2
8,0.1653,2
9,0.291,1
10,0.3892,2
11,0.442,1
12,0.45389999999999997,1
13,0.4556,1
14,0.5615,1
15,0.47,1
14,0.4174,1
13,0.501,1
12,0.43110000000000004,1
11,0.3935,1
10,0.5376000000000001,1
9,0.5056,1
8,0.15830000000000002,1
7,0.18480000000000002,1
6,0.1766,2
5,0.19490000000000002,2
4,0.1678,1
5,0.18719999999999998,2
6,0.2085,1
7,0.18280000000000002,2
8,0.1648,1
9,0.31939999999999996,1
10,0.22740000000000002,2
11,0.5147999999999999,1
12,0.5602,1
13,0.4327,1
14,0.4255,1
15,0.4799,1
14,0.8756,1
13,0.5464,1
12,0.5796,1
11,0.4088,1
10,0.4801,1
9,0.3466,1
8,0.19140000000000001,1
7,0.2092,1
6,0.2037,1
5,0.3451,1
4,0.126,1
3,0.38339999999999996,2
2,0.1635,2
1,0.1789,1
0,0.1851,2
0,0.1819,2
0,0.1874,1
1,0.1772,1
2,0.18580000000000002,2
3,0.16119999999999998,1
4,0.18409999999999999,2
5,0.18230000000000002,2
7,0.2052,1
8,0.1925,2
9,0.2958,1
10,0.365,1
11,0.5692999999999999,1
12,0.6018,1
13,0.5032,1
14,0.4754,2
15,0.3992,1
16,0.427,1
17,0.4686,1
18,0.6557000000000001,1
19,0.4645,1
18,0.4958,1
17,0.44160000000000005,1
16,0.8506,1
15,0.6073999999999999,1
14,0.4074,1
13,0.5108,1
12,0.6106,1
11,0.4317,2
10,0.437,1
9,0.49119999999999997,1
8,0.35719999999999996,1
7,0.2059,1
6,0.1849,1
5,0.19030000000000002,1
4,0.1889,1
3,0.1777,1
4,0.1854,1
5,0.1936,2
6,0.149,2
7,0.1621,2
8,0.1741,1
9,0.209,2
10,0.3222,1
11,0.4294,1
12,0.5472,1
13,0.48710000000000003,1
14,0.461,1
13,0.6644,1
12,0.5165,1
11,0.4781,1
10,0.192,1
9,0.1992,1
8,0.178,1
7,0.1778,1
6,0.2027,1
7,0.1844,2
9,0.18419999999999997,1
10,0.5721,1
11,0.4313,2
12,0.44039999999999996,2
13,0.496,1
14,0.486,1
15,0.4317,1
16,0.5118,1
17,0.502,1
16,0.4761,1
15,0.4002,1
14,0.444,1
13,0.5022,1
12,0.5674,1
11,0.4942,1
10,0.438,1
9,0.2144,2
8,0.2292,2
7,0.32989999999999997,2
6,0.18630000000000002,2
5,0.2164,2
4,0.1977,1
3,0.18969999999999998,2
2,0.1733,2
3,0.2039,2
4,0.1754,2
5,0.19080000000000003,1
6,0.1739,2
8,0.1522,2
9,0.5235,1
10,0.4792,1
11,0.5028,1
12,0.2291,1
13,0.3633,1
14,0.4323,1
15,0.4169,2
16,0.5542999999999999,1
17,0.4103,1
18,0.4181,1
19,0.35919999999999996,1
20,0.48360000000000003,1
19,0.4148,1
18,0.48260000000000003,1
17,0.5038,1
16,0.5872999999999999,1
15,0.4628,1
14,0.4636,1
13,0.3987,1
12,0.4075,2
11,0.5692,1
10,0.1884,2
9,0.19369999999999998,2
8,0.18569999999999998,2
7,0.1735,2
6,0.1694,2
15,0.5471,1
14,0.5191,1
13,0.4686,1
12,0.3805,1
11,0.4905,1
10,0.1992,2
9,0.2005,2
8,0.4139,1
7,0.18769999999999998,1
6,0.18130000000000002,1
5,0.153,2
4,0.2031,1
3,0.331,2
2,0.1744,1
1,0.1667,1
0,0.1825,1
0,0.2072,2
0,0.1829,1
1,0.2095,2
2,0.1773,1
3,0.18719999999999998,2
4,0.1849,1
5,0.5772999999999999,1
6,0.18719999999999998,2
7,0.1757,2
8,0.1689,1
9,0.1784,2
10,0.1751,1
11,0.1935,1
12,0.4047,1
13,0.5629,1
14,0.3892,1
15,0.39339999999999997,1
16,0.418,1
15,0.4649,1
14,0.6396000000000001,1
13,0.3867,1
12,0.5337000000000001,1
11,0.1668,1
10,0.1673,1
9,0.1819,1
8,0.1702,1
7,0.18569999999999998,2
8,0.1293,1
9,0.1874,1
10,0.1827,1
11,0.53,1
12,0.5237,1
13,0.4105,1
14,0.5662,1
15,0.4156,1
14,0.4883,1
13,0.4466,2
12,0.5537000000000001,1
11,0.493,1
10,0.1874,2
9,0.16240000000000002,2
8,0.18930000000000002,2
7,0.1768,1
6,0.1987,2
7,0.2053,2
8,0.1807,1
9,0.1945,1
10,0.18,1
11,0.1822,2
12,0.5508,1
13,0.4628,1
14,0.48469999999999996,1
15,0.4433,1
16,0.6387999999999999,2
17,0.7471,1
18,0.629,1
19,0.6126,1
20,0.5351,1
21,0.4665,1
20,0.44580000000000003,1
19,0.43139999999999995,1
18,0.43639999999999995,1
17,0.5796,1
16,0.5112,1
15,0.4958,1
14,0.4982,1
13,0.723,1
12,0.4357,1
11,0.4597,1
10,0.1777,1
9,0.1763,2
8,0.1899,1
6,0.18680000000000002,2
7,0.1764,2
8,0.1915,2
9,0.2159,1
10,0.1901,1
11,0.2079,1
12,0.2013,2
13,0.5418999999999999,1
14,0.5561,1
15,0.49019999999999997,1
16,0.4628,1
17,0.4656,1
16,0.48269999999999996,1
15,0.5889,1
14,0.49360000000000004,2
13,0.5416,1
12,0.5529,2
11,0.777,1
10,0.1667,1
9,0.19669999999999999,1
8,0.1891,2
7,0.1716,1
6,0.3585,1
5,0.1734,1
4,0.2071,1
3,0.21769999999999998,2
2,0.1987,1
1,0.19,1
2,0.1865,2
3,0.196,1
4,0.184,1
5,0.2236,1
6,0.1749,1
7,0.1702,1
8,0.3403,1
9,0.1943,1
10,0.18830000000000002,2
11,0.9014,1
12,0.5488,1
13,0.5892999999999999,1
14,0.4925,1
15,0.4335,2
16,0.49060000000000004,1
17,0.4541,1
18,0.44,1
19,0.4604,1
20,0.3971,1
19,0.5941000000000001,1
18,0.5431,1
17,0.5135,1
16,0.411,1
15,0.64,1
14,0.4698,1
13,0.4092,1
12,0.5076,1
11,0.486,1
10,0.1769,2
9,0.1775,2
8,0.18259999999999998,1
7,0.1792,2
6,0.1904,1
7,0.1474,2
8,0.17880000000000001,2
10,0.1807,1
11,0.1773,1
12,0.4437,1
13,0.4712,1
14,0.5986,1
15,0.5277000000000001,1
16,0.5215,1
15,0.466,1
14,0.5435,1
13,0.447,1
12,0.598,1
11,0.5622,1
10,0.377,2
9,0.187,2
8,0.1834,2
7,0.22130000000000002,2
6,0.1105,1
5,0.21630000000000002,1
6,0.3344,2
7,0.197,2
8,0.1978,1
9,0.197,1
10,0.19440000000000002,1
11,0.5314,1
12,0.4878,1
13,0.5326000000000001,1
14,0.7602000000000001,1
15,0.4388,1
14,0.7657999999999999,1
13,0.6105,1
12,0.4009,1
11,0.165,2
10,0.1837,1
8,0.1065,2
7,0.1895,1
18,0.5548,1
17,0.5098,1
16,0.4642,1
15,0.5701,1
14,0.49269999999999997,1
13,0.6526000000000001,1
12,0.4933,1
11,0.5542,1
10,0.1861,1
9,0.1757,2
8,0.18180000000000002,1
7,0.1948,1
6,0.18359999999999999,2
7,0.196,1
9,0.191,1
10,0.1802,1
11,0.1755,2
12,0.5003,1
13,0.4885,1
14,0.6446000000000001,1
15,0.7968,1
16,0.8657999999999999,1
15,0.7323,1
14,0.4445,1
13,0.5768,2
12,0.5266000000000001,1
11,0.5287999999999999,1
10,0.1891,2
9,0.24259999999999998,1
8,0.2056,1
7,0.7183999999999999,1
6,0.2017,1
5,0.15530000000000002,1
4,0.2056,2
3,0.1514,2
2,0.18,2
3,0.1712,2
4,0.1732,1
5,0.1534,1
6,0.18030000000000002,2
8,0.2,1
9,0.1446,2
10,0.1846,1
11,0.1832,1
12,0.4486,1
13,0.3004,2
14,0.4185,1
15,0.5372,1
16,0.6907000000000001,1
17,0.44839999999999997,1
18,0.4713,1
17,0.427,1
16,0.5096,1
15,0.5918,1
14,0.5842999999999999,1
13,0.343,1
12,0.45289999999999997,1
11,0.5466,1
10,0.1051,1
9,0.18380000000000002,1
8,0.19590000000000002,2
7,0.19519999999999998,1
6,0.2011,2
7,0.2018,1
8,0.1809,2
10,0.1761,2
11,0.17830000000000001,2
12,0.4428,1
13,0.424,1
14,0.6297999999999999,1
15,0.4047,1
16,0.4626,1
15,0.5125,1
14,0.6554,1
13,0.7903,1
12,0.5045,1
11,0.3535,1
10,0.3053,2
9,0.21819999999999998,2
8,0.19069999999999998,1
7,0.18430000000000002,1
6,0.1725,2
5,0.2002,2
6,0.1832,1
7,0.1916,2
8,0.1779,1
9,0.2005,2
10,0.1779,1
11,0.1926,2
12,0.2137,2
13,0.7908,1
14,0.4289,1
15,0.3358,1
16,0.3831,1
17,0.4465,1
7,0.1995,2
8,0.2047,2
9,0.161,1
10,0.1755,1
11,0.19340000000000002,2
12,0.6247999999999999,2
13,0.7918,1
14,0.5233,1
15,0.4775,1
16,0.7102,1
17,0.48169999999999996,1
16,0.43160000000000004,1
15,0.6908,1
13,0.5327999999999999,1
12,0.5576,1
11,0.3353,2
10,0.528,1
9,0.1782,2
8,0.1515,1
7,0.1357,1
6,0.181,2
5,0.163,2
6,0.2263,2
7,0.1722,1
8,0.1885,2
9,0.22119999999999998,1
10,0.19540000000000002,1
11,0.2074,1
12,0.5043,1
13,0.5885,1
14,0.5337000000000001,1
15,0.5197999999999999,1
16,0.43789999999999996,2
17,0.5628,1
18,0.6416000000000001,1
19,0.5625,1
20,0.6157999999999999,1
21,0.5,1
20,0.44139999999999996,1
19,0.4593,1
18,0.5434,1
17,0.4873,1
16,0.4975,1
15,0.45189999999999997,1
14,0.44630000000000003,1
13,0.4382,1
12,0.4681,1
11,0.1773,1
10,0.16419999999999998,1
9,0.2088,2
8,0.1753,1
8,0.2034,2
9,0.1802,2
10,0.1824,1
11,0.1946,1
12,0.18380000000000002,2
13,0.4729,1
14,0.4264,1
15,0.4209,2
16,0.42610000000000003,1
17,0.5026,1
18,0.7682,1
19,0.5417000000000001,1
20,0.5036,1
19,0.4713,1
18,0.3932,1
17,0.4747,1
16,0.476,1
15,0.4864,1
14,0.5398,1
13,0.4995,1
12,0.49219999999999997,1
10,0.1991,2
8,0.43760000000000004,2
7,0.19440000000000002,1
6,0.2027,2
5,0.382,1
4,0.1761,2
3,0.24,1
2,0.2033,1
1,0.2014,1
0,0.3226,2
0,0.2004,2
0,0.187,2
0,0.201,1
0,0.2063,1
0,0.32980000000000004,2
0,0.17909999999999998,1
0,0.1971,2
0,0.2124,1
0,0.2547,1
0,0.1748,1
